Institution Name,Institution Code,SS,FSR,FQE,FRU,OE,PU,QP,IPR,FPPP,GUE,GPHD,RD,WD,ESCS,PCS,PR,Year,Institute Name,Institute Code
,,13.48,25.64,12.21,13.97,,2.27,4.62,0.0,5.71,60.0,3.9,14.98,27.49,0.22,20.0,0.81,2018,SVKM`s Narsee Monjee Institute of Management Studies,IR-6-O-OEMAPC-N-10
,,14.45,30.0,14.85,6.51,,5.69,8.59,0.5,0.45,60.0,2.65,6.77,24.23,8.43,20.0,0,2018,Koneru Lakshmaiah Education Foundation University,IR-2-O-EM-U-0020
,,11.5,30.0,18.62,14.56,,3.1,5.43,0.5,2.34,46.8,3.29,15.35,30.0,1.17,20.0,2.79,2018,KLE Academy of Higher Education and Research,IR-1-O-O-U-0225
,,11.5,30.0,15.74,16.47,,0.82,1.82,0.0,0.0,60.0,10.63,1.06,25.65,7.33,20.0,1.22,2018,University of Agricultural Sciences,IR-1-O-O-U-0246
,,13.21,10.06,6.57,14.26,,10.6,16.57,0.5,4.11,54.1,16.2,1.91,24.38,1.94,20.0,7.17,2018,Guru Nanak Dev University,IR-1-O-O-U-0376
,,15.2,15.32,10.31,5.8,,10.72,14.97,0.5,0.3,47.63,22.29,17.97,20.25,2.37,9.0,14.76,2018,Pondicherry University,IR-3-O-OEM-U-0369
,,11.48,25.45,15.82,12.1,,5.44,6.91,0.5,0.58,53.44,16.76,9.01,27.92,1.17,5.0,5.03,2018,North Eastern Hill University,IR-1-O-O-U-0341
,,6.54,30.0,19.03,21.53,,1.38,1.56,0.0,0.07,58.55,6.09,1.59,30.0,4.76,17.0,0.41,2018,Sri Venkateswara Institute of Medical Sciences,IR-1-O-D-U-0036
,,10.96,30.0,17.15,6.04,,0.85,3.98,0.0,0.23,59.55,9.47,11.54,28.28,1.54,20.0,12.38,2018,Dayalbagh Educational Institute,IR-2-O-OE-U-0507
,,15.66,16.74,9.68,5.0,,4.12,8.46,0.5,1.08,60.0,22.05,21.92,30.0,2.71,12.0,4.3,2018,Banasthali Vidyapith,IR-4-O-OEMP-U-0389
,,5.83,30.0,16.85,22.09,,3.1,3.2,0.5,1.15,56.11,2.79,2.16,25.38,5.98,14.0,3.93,2018,Tamil Nadu Veterinary & Animal Sciences University,IR-1-O-O-U-0487
,,16.75,21.7,13.04,7.43,,2.67,9.27,0.5,3.62,49.08,11.96,11.2,26.76,0.29,17.0,14.76,2018,	Bharati Vidyapeeth,IR-1-O-O-I-1361
,,6.28,24.47,15.01,11.25,,13.62,14.51,0.5,0.58,33.9,11.55,0.48,23.52,1.45,9.0,26.3,2018,Bharathidasan University,IR-1-O-O-U-0448
,,11.5,25.82,14.33,5.45,,7.71,8.51,2.5,1.46,60.0,1.91,0.24,28.37,4.33,14.0,14.46,2018,Thiagarajar College of Engineering,IR-3-O-OEA-C-26794
,,10.5,22.79,11.33,11.24,,8.68,6.19,0.5,1.86,60.0,2.43,3.17,23.84,4.11,20.0,12.07,2018,College of Engineering,IR-1-O-E-C-41593
,,5.5,30.0,17.09,19.84,,2.37,2.78,0.0,0.32,49.65,0.5,19.12,28.33,2.21,20.0,2.4,2018,Mahatma Gandhi Medical College and Research Institute,IR-1-O-D-C-47762
,,7.99,26.96,14.52,1.37,,5.32,8.22,0.0,0.23,60.0,6.09,1.58,30.0,0.0,20.0,2.01,2018,Goa University,IR-1-O-O-U-0121
,,9.65,18.59,11.83,7.66,,13.22,10.03,0.5,0.6,52.85,10.08,0.87,24.25,2.07,17.0,18.88,2018,Cochin University of Science and Technology,IR-1-O-O-U-0253
,,12.08,21.5,8.37,5.82,,9.68,13.41,0.5,0.54,60.0,2.86,6.8,2.61,1.42,20.0,15.04,2018,Delhi Technological University,IR-2-O-OE-U-0098
